Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,42,avg_stroke_distance,uint16,,,,,,,,,,,,1
,43,swim_stroke,swim_stroke,,,,,,,,,,,,1
,44,pool_length,uint16,,,,,,,,,,,,1
,45,threshold_power,uint16,,,,,,,,,,,,1
,46,pool_length_unit,display_measure,,,,,,,,,,,,1
,47,num_active_lengths,uint16,,,,,,,,,,,,1
,48,total_work,uint32,,,,,,,,,,,,1
,49,avg_altitude,uint16,,,,,,,,,,,,1
,50,max_altitude,uint16,,,,,,,,,,,,1
,51,gps_accuracy,uint8,,,,,,,,,,,,1
,52,avg_grade,sint16,,,,,,,,,,,,1
,53,avg_pos_grade,sint16,,,,,,,,,,,,1
,54,avg_neg_grade,sint16,,,,,,,,,,,,1
,55,max_pos_grade,sint16,,,,,,,,,,,,1
,56,max_neg_grade,sint16,,,,,,,,,,,,1
,57,avg_temperature,sint8,,,,,,,,,,,,1
,58,max_temperature,sint8,,,,,,,,,,,,1
,59,total_moving_time,uint32,,,,,,,,,,,,1
,60,avg_pos_vertical_speed,sint16,,,,,,,,,,,,1
,61,avg_neg_vertical_speed,sint16,,,,,,,,,,,,1
,62,max_pos_vertical_speed,sint16,,,,,,,,,,,,1
,63,max_neg_vertical_speed,sint16,,,,,,,,,,,,1
,64,min_heart_rate,uint8,,,,,,,,,,,,1
,65,time_in_hr_zone,uint32,[N],,,,,,,,,,,1
,66,time_in_speed_zone,uint32,[N],,,,,,,,,,,1
,67,time_in_cadence_zone,uint32,[N],,,,,,,,,,,1
,68,time_in_power_zone,uint32,[N],,,,,,,,,,,1
,69,avg_lap_time,uint32,,,,,,,,,,,,1
,70,best_lap_index,uint16,,,,,,,,,,,,1
,71,min_altitude,uint16,,,,,,,,,,,,1
,82,player_score,uint16,,,,,,,,,,,,1
,83,opponent_score,uint16,,,,,,,,,,,,1
,84,opponent_name,string,,,,,,,,,,,,1
,85,stroke_count,uint16,[N],,,,,,,,,,,1
,86,zone_count,uint16,[N],,,,,,,,,,,1
,87,max_ball_speed,uint16,,,,,,,,,,,,1
,88,avg_ball_speed,uint16,,,,,,,,,,,,1
,89,avg_vertical_oscillation,uint16,,,,,,,,,,,,1
,90,avg_stance_time_percent,uint16,,,,,,,,,,,,1
,91,avg_stance_time,uint16,,,,,,,,,,,,1
